"Fecha","Code","D","I","L","R","S","Total_I","Estado"
2020-02-06,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-07,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-08,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-09,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-10,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-11,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-12,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-13,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-14,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-15,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-16,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-17,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-18,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-19,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-20,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-21,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-22,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-23,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-24,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-25,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-26,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-27,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-28,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-29,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-01,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-02,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-03,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-04,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-05,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-06,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-07,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-08,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-09,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-10,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-11,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-12,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-13,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-03-14,"BCS",0,0,0,0,7,0,"BAJA CALIFORNIA SUR"
2020-03-15,"BCS",0,0,0,0,4,0,"BAJA CALIFORNIA SUR"
2020-03-16,"BCS",0,0,0,0,0,0,"BAJA CALIFORNIA SUR"
2020-03-17,"BCS",0,0,0,0,0,0,"BAJA CALIFORNIA SUR"
2020-03-18,"BCS",0,0,0,0,0,0,"BAJA CALIFORNIA SUR"
2020-03-19,"BCS",0,0,0,0,6,0,"BAJA CALIFORNIA SUR"
2020-03-20,"BCS",0,0,0,0,3,0,"BAJA CALIFORNIA SUR"
2020-03-21,"BCS",0,1,0,0,8,1,"BAJA CALIFORNIA SUR"
2020-03-22,"BCS",0,1,0,0,13,1,"BAJA CALIFORNIA SUR"
2020-03-23,"BCS",0,1,1,NA,5,2,"BAJA CALIFORNIA SUR"
2020-03-24,"BCS",0,1,1,NA,20,2,"BAJA CALIFORNIA SUR"
2020-03-25,"BCS",0,2,3,NA,15,5,"BAJA CALIFORNIA SUR"
2020-03-26,"BCS",0,4,3,NA,20,7,"BAJA CALIFORNIA SUR"
2020-03-27,"BCS",0,4,5,NA,19,9,"BAJA CALIFORNIA SUR"
2020-03-28,"BCS",0,4,5,NA,31,9,"BAJA CALIFORNIA SUR"
2020-03-29,"BCS",0,5,6,NA,30,11,"BAJA CALIFORNIA SUR"
2020-03-30,"BCS",0,5,8,NA,24,13,"BAJA CALIFORNIA SUR"
2020-03-31,"BCS",0,5,12,NA,35,17,"BAJA CALIFORNIA SUR"
2020-01-23,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-01-24,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-01-25,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-01-26,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-01-27,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-01-28,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-01-29,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-01-30,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-01-31,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-01,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-02,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-03,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-04,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-05,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-06,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-07,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-08,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-09,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-10,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-11,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-12,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-13,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-14,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-15,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-16,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-17,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-18,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-19,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-20,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-21,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-22,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-23,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-24,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-25,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-26,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-27,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-28,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-02-29,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-01,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-02,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-03,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-04,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-05,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-06,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-07,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-08,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-09,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-10,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-11,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-12,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-13,"CAM",0,0,0,0,NA,0,"CAMPECHE"
2020-03-14,"CAM",0,0,0,0,0,0,"CAMPECHE"
2020-03-15,"CAM",0,0,0,0,0,0,"CAMPECHE"
2020-03-16,"CAM",0,0,0,0,1,0,"CAMPECHE"
2020-03-17,"CAM",0,0,0,0,0,0,"CAMPECHE"
2020-03-18,"CAM",0,0,0,0,1,0,"CAMPECHE"
2020-03-19,"CAM",0,0,0,0,2,0,"CAMPECHE"
2020-03-20,"CAM",0,0,0,0,2,0,"CAMPECHE"
2020-03-21,"CAM",0,0,0,0,3,0,"CAMPECHE"
2020-03-22,"CAM",0,1,0,0,3,1,"CAMPECHE"
2020-03-23,"CAM",0,2,0,NA,4,2,"CAMPECHE"
2020-03-24,"CAM",0,2,0,NA,1,2,"CAMPECHE"
2020-03-25,"CAM",0,2,0,NA,2,2,"CAMPECHE"
2020-03-26,"CAM",0,2,0,NA,3,2,"CAMPECHE"
2020-03-27,"CAM",0,2,0,NA,6,2,"CAMPECHE"
2020-03-28,"CAM",0,3,0,NA,8,3,"CAMPECHE"
2020-03-29,"CAM",0,3,0,NA,8,3,"CAMPECHE"
2020-03-30,"CAM",0,3,0,NA,11,3,"CAMPECHE"
2020-03-31,"CAM",0,3,2,NA,2,5,"CAMPECHE"
2020-01-23,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-01-24,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-01-25,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-01-26,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-01-27,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-01-28,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-01-29,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-01-30,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-01-31,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-01,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-02,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-03,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-04,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-05,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-06,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-07,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-08,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-09,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-10,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-11,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-12,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-13,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-14,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-15,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-16,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-17,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-18,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-19,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-20,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-21,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-22,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-23,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-24,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-25,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-26,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-27,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-28,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-02-29,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-01,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-02,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-03,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-04,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-05,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-06,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-07,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-08,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-09,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-10,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-11,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-12,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-13,"CHH",0,0,0,0,NA,0,"CHIHUAHUA"
2020-03-14,"CHH",0,0,0,0,0,0,"CHIHUAHUA"
2020-03-15,"CHH",0,0,0,0,1,0,"CHIHUAHUA"
2020-03-16,"CHH",0,0,0,0,2,0,"CHIHUAHUA"
2020-03-17,"CHH",0,1,0,0,2,1,"CHIHUAHUA"
2020-03-18,"CHH",0,1,0,0,1,1,"CHIHUAHUA"
2020-03-19,"CHH",0,1,0,0,3,1,"CHIHUAHUA"
2020-03-20,"CHH",0,2,0,0,6,2,"CHIHUAHUA"
2020-03-21,"CHH",0,2,0,0,6,2,"CHIHUAHUA"
2020-03-22,"CHH",0,5,0,0,4,5,"CHIHUAHUA"
2020-03-23,"CHH",0,5,0,NA,7,5,"CHIHUAHUA"
2020-03-24,"CHH",0,6,0,NA,6,6,"CHIHUAHUA"
2020-03-25,"CHH",0,6,0,NA,8,6,"CHIHUAHUA"
2020-03-26,"CHH",0,6,0,NA,5,6,"CHIHUAHUA"
2020-03-27,"CHH",0,6,0,NA,14,6,"CHIHUAHUA"
2020-03-28,"CHH",0,6,0,NA,16,6,"CHIHUAHUA"
2020-03-29,"CHH",0,6,0,NA,16,6,"CHIHUAHUA"
2020-03-30,"CHH",0,6,0,NA,21,6,"CHIHUAHUA"
2020-03-31,"CHH",0,6,1,NA,16,7,"CHIHUAHUA"
2020-01-23,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-01-24,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-01-25,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-01-26,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-01-27,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-01-28,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-01-29,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-01-30,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-01-31,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-02-01,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-02-02,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-02-03,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-02-04,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-02-05,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-02-06,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-02-07,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-02-08,"CHP",0,0,0,0,NA,0,"CHIAPAS"
2020-02-09,"CHP",0,0,0,0,NA,0,"CHIAPAS"
